country_name,un_class_2014,imf_class_2023,g7,eu_member,fuel_exp_country,wealth_rank,gdp_ppp_2022,gdp_pc_2022
Luxembourg,Developed,Advanced,No,Yes,No,1.0,142214.0,127046.0
Singapore,Developing,Advanced,No,No,No,2.0,127565.0,78115.0
Ireland,Developed,Advanced,No,Yes,No,3.0,126905.0,105362.0
Norway,Developed,Advanced,No,No,No,4.0,114899.0,106594.0
Qatar,Developing,Emerging,No,No,Yes,5.0,114648.0,88046.0
United Arab Emirates (UAE),Transition,Advanced,No,No,Yes,6.0,87729.0,53758.0
Switzerland,Developed,Advanced,No,No,No,7.0,83598.0,92410.0
United States,Developed,Advanced,Yes,No,No,8.0,76399.0,75269.0
Denmark,Developed,Advanced,No,Yes,No,9.0,74005.0,67220.0
Netherlands,Developed,Advanced,No,Yes,No,10.0,69577.0,56429.0
Brunei Darussalam,Developing,Emerging,No,No,Yes,11.0,69275.0,37152.0
Iceland,Developed,Advanced,No,No,No,12.0,69081.0,74663.0
Hong Kong SAR,Developing,Advanced,No,No,No,13.0,69049.0,48050.0
Austria,Developed,Advanced,No,Yes,No,14.0,67936.0,52732.0
Belgium,Developed,Advanced,No,Yes,No,15.0,65027.0,49640.0
Sweden,Developed,Advanced,No,Yes,No,16.0,64578.0,55543.0
Germany,Developed,Advanced,Yes,Yes,No,17.0,63150.0,48845.0
Australia,Developed,Advanced,No,No,No,18.0,62625.0,64003.0
Bahrain,Developing,Emerging,No,No,Yes,19.0,61228.0,30152.0
Saudi Arabia,Developing,Emerging,No,No,Yes,20.0,59065.0,30436.0
Finland,Developed,Advanced,No,Yes,No,21.0,59027.0,50684.0
Canada,Developed,Advanced,Yes,No,No,22.0,58400.0,55646.0
Kuwait,Developing,Emerging,No,No,Yes,23.0,58056.0,43233.0
Malta,Developed,Advanced,No,Yes,Yes,24.0,55928.0,33313.0
France,Developed,Advanced,Yes,Yes,No,25.0,55493.0,43061.0
Macao SAR,Developing,Advanced,No,No,No,26.0,55344.0,31618.0
United Kingdom,Developed,Advanced,Yes,No,No,27.0,54603.0,45485.0
Aoeteroa (New Zealand),Developed,Advanced,No,No,No,28.0,51967.0,47680.0
Italy,Developed,Advanced,Yes,Yes,No,29.0,51865.0,34053.0
South Korea,Developing,Advanced,No,No,No,30.0,50070.0,32138.0
Slovenia,Developed,Advanced,No,Yes,No,31.0,50032.0,29303.0
Czech Republic,Developed,Advanced,No,Yes,No,32.0,49946.0,27723.0
Cyprus,Developed,Advanced,No,Yes,No,33.0,49931.0,22724.0
